dates,DBABFV,DBABCVC,DBABFCDM,DBABCC,DBABFCEM,DBABVRE,DBABEMT,DBABCM,DBABCVS,DBABRV,DBABVCE,DBABEL,DBABRC,DBABRMB,DBABCR,DBABRRUS,DBABVTE,DBABEEUS,DBABRMI,DBABRREU,SPXT_FUT,EUR,GBP,AUD,NZD,CHF,CAD,SEK,NOK,JPY,EQ_EM,BCOM,US_BOND_10yr
1/3/2000,#N/A N/A,18.683,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1512.75,84.42619098,98.74264256,105.4335719,96.64272105,83.54153832,105.9354273,93.65912352,96.49327328,106.4978061,#N/A N/A,#N/A N/A,#N/A N/A
1/4/2000,#N/A N/A,18.7683,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1455.75,84.85681153,98.72785711,104.8708592,95.60928822,84.0507507,105.5002787,93.59716639,95.78307199,104.6558325,#N/A N/A,#N/A N/A,#N/A N/A
1/5/2000,#N/A N/A,18.5198,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1459,85.0448053,99.11875546,105.3297293,95.74964648,84.5005194,105.7063727,93.74089273,95.83022197,103.7153407,#N/A N/A,#N/A N/A,#N/A N/A
1/6/2000,#N/A N/A,18.535,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1459,85.09622276,99.40568453,104.5897475,94.71696023,84.21702248,104.996344,93.68085798,95.84168484,102.625426,#N/A N/A,#N/A N/A,#N/A N/A
1/7/2000,#N/A N/A,18.344,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1499.5,84.81814399,98.91405662,104.8440577,95.24861576,83.59274099,105.2944342,93.17651681,95.44090993,102.5030321,#N/A N/A,#N/A N/A,#N/A N/A
1/10/2000,#N/A N/A,18.452,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1513.75,84.49048808,98.79564093,105.0340065,94.9335131,83.32608262,105.2973274,92.82003415,94.99543864,102.6628642,#N/A N/A,#N/A N/A,#N/A N/A
1/11/2000,#N/A N/A,18.752,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1496,85.1430733,99.40444026,105.3039155,95.33630874,83.90748439,105.2064515,93.38555367,95.62812968,101.8819886,#N/A N/A,#N/A N/A,#N/A N/A
1/12/2000,#N/A N/A,18.6627,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1486.25,84.89710076,99.3480256,105.4393474,95.56728764,83.64246183,105.4332948,93.36300458,95.66388885,102.020648,#N/A N/A,#N/A N/A,#N/A N/A
1/13/2000,#N/A N/A,18.5054,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1504.75,84.45355068,99.38181334,106.9067264,96.31767395,83.11807953,105.6826011,93.1464507,95.82568608,101.6381719,#N/A N/A,#N/A N/A,#N/A N/A
1/14/2000,#N/A N/A,18.8208,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1522.5,83.32761311,98.42009278,106.5524248,95.92708499,81.90115881,105.7434653,92.49869061,95.17678613,101.9102974,#N/A N/A,#N/A N/A,#N/A N/A
