dates,CSLAB,CSLABED,CSLABGS,CSLABLS,CSLABMF,CSLABMA
12/31/1997,412.22,377.71,#N/A N/A,346.85,263.03,456.22
1/1/1998,412.22,377.71,#N/A N/A,346.85,263.03,456.22
1/2/1998,413.08,377.83,#N/A N/A,347.62,264.39,457.15
1/3/1998,413.08,377.83,#N/A N/A,347.62,264.39,457.15
1/4/1998,413.08,377.83,#N/A N/A,347.62,264.39,457.15
1/5/1998,415.22,378.45,#N/A N/A,346.96,269.55,457.62
1/6/1998,414.15,379.51,#N/A N/A,343.33,270.84,454.9
1/7/1998,414.33,379.49,#N/A N/A,343.07,269.53,458.91
1/8/1998,413.47,379.36,#N/A N/A,340.63,271.57,458.36
1/9/1998,408,379.11,#N/A N/A,333.58,271.06,463.4
1/10/1998,408,379.11,#N/A N/A,333.58,271.06,463.4
1/11/1998,408,379.11,#N/A N/A,333.58,271.06,463.4
1/12/1998,409.05,379.37,#N/A N/A,334.23,274.08,461.34
1/13/1998,412.42,379.77,#N/A N/A,338.57,271.34,460.21
1/14/1998,412.17,380.13,#N/A N/A,340.28,270.08,460.62
1/15/1998,412.33,380.43,#N/A N/A,339.77,269.63,457.39
1/16/1998,412.67,381.03,#N/A N/A,342.65,266.68,458.53
1/17/1998,412.67,381.03,#N/A N/A,342.65,266.68,458.53
1/18/1998,412.67,381.03,#N/A N/A,342.65,266.68,458.53
1/19/1998,412.67,381.03,#N/A N/A,342.65,266.68,458.53
1/20/1998,414.94,381.59,#N/A N/A,345.55,266.65,457.3
1/21/1998,412.69,381.67,#N/A N/A,344.86,265.98,456.38
1/22/1998,410.74,381.69,#N/A N/A,341.73,267.28,456.79
1/23/1998,407.74,381.49,#N/A N/A,340.64,263.23,457.63
1/24/1998,407.74,381.49,#N/A N/A,340.64,263.23,457.63
1/25/1998,407.74,381.49,#N/A N/A,340.64,263.23,457.63
1/26/1998,407.26,381.29,#N/A N/A,340.01,263.43,458.59
1/27/1998,407.41,380.86,#N/A N/A,341.58,262.04,456.94
1/28/1998,411.55,381.07,#N/A N/A,344.18,261.49,456.35
1/29/1998,414.39,381.23,#N/A N/A,346.33,264.17,456.38
1/30/1998,414.3,381.42,#N/A N/A,344.86,264.03,456.6
1/31/1998,414.3,381.42,#N/A N/A,344.86,264.03,456.6
2/1/1998,414.3,381.42,#N/A N/A,344.86,264.03,456.6
