id,name,frequency,currency,description
CSLAB,Liquid Alternative Beta,daily,USD,
CSLABED,Event Driven Liquid,daily,USD,
CSLABGS,Global Strategies Liquid,daily,USD,
CSLABLS,Long/Short Liquid,daily,USD,
CSLABMF,Managed Futures Liquid,daily,USD,
CSLABMA,Merger Arbitrage Liquid,daily,USD,
HEDG,Credit Suisse Hedge Fund ,monthly,USD,
HEDG_CVARB,Credit Suisse Convertible Arbitrage Hedge Fund,monthly,USD,
HEDG_DEDSH,Credit Suisse Dedicated Short Bias Hedge Fund,monthly,USD,
HEDG_EMMKT,Credit Suisse Emerging Markets Hedge Fund,monthly,USD,
HEDG_EQNTR,Credit Suisse Equity Market Neutral Hedge Fund,monthly,USD,
HEDG_EVDRV,Credit Suisse Event Driven Hedge Fund,monthly,USD,
HEDG_DISTR,Credit Suisse Event Driven Distressed Hedge Fund,monthly,USD,
HEDG_MSEVD,Credit Suisse Event Driven Multi-Strategy Hedge Fund,monthly,USD,
HEDG_MRARB,Credit Suisse Event Driven Risk Arbitrage Hedge Fund,monthly,USD,
HEDG_FIARB,Credit Suisse Fixed Income Arbitrage Hedge Fund,monthly,USD,
HEDG_GLMAC,Credit Suisse Global Macro Hedge Fund,monthly,USD,
HEDG_LOSHO,Credit Suisse Long/Short Equity Hedge Fund,monthly,USD,
HEDG_MGFUT,Credit Suisse Managed Futures Hedge Fund,monthly,USD,
HEDG_MULTI,Credit Suisse Multi-Strategy Hedge Fund,monthly,USD,
SECT,Credit Suisse AllHedge,monthly,USD,
SECT_CVARB,Credit Suisse AllHedge Convertible Arbitrage,monthly,USD,
SECT_DEDSH,Credit Suisse AllHedge Dedicated Short Bias,monthly,USD,
SECT_EMMKT,Credit Suisse AllHedge Emerging Markets,monthly,USD,
SECT_EQNTR,Credit Suisse AllHedge Equity Market Neutral,monthly,USD,
SECT_EVDRV,Credit Suisse AllHedge Event Driven,monthly,USD,
SECT_FIARB,Credit Suisse AllHedge Fixed Income Arbitrage,monthly,USD,
SECT_GLMAC,Credit Suisse AllHedge Global Macro,monthly,USD,
SECT_LOSHO,Credit Suisse AllHedge Long/Short Equity,monthly,USD,
SECT_MGFUT,Credit Suisse AllHedge Managed Futures,monthly,USD,
SECT_MULTI,Credit Suisse AllHedge Multi-Strategy,monthly,USD,
